rue de Champagny;7
rue Champfleury;7
rue Chevert;7
rue de la Comète;7
avenue Barbey D'Aurevilly;7
avenue Émile Deschanel;7
rue Duroc;7
voie E/7;7
rue Éblé;7
voie F/7;7
place de Fontenoy;7
rue Saint-Guillaume;7
rue du Maréchal Harispe;7
port des Invalides;7
passage Landrieu;7
rue Paul Et Jean Lerolle;7
rue de Lille;7
cité Martignac;7
square de La Tour-Maubourg;7
rue Monsieur;7
square La Rochefoucauld;7
place El Salvador;7
villa de Saxe;7
rue de Solférino;7
avenue du Général Tripier;7
rue Edmond Valentin;7
pont de l'Alma;7
pont de l'Alma;8
pont de l'Alma;16
rue de La Baume;8
rue Bayard;8
rue de Berri;8
place Clemenceau;8
rue du Colisée;8
place de la Concorde;8
rue de Constantinople;8
rue Boissy d'Anglas;8
avenue Dutuit;8
rue Euler;8
place de l'Europe;8
voie F/8;8
rue Pierre Le Grand;8
cour du Havre;8
place de Rio de Janeiro;8
rue de Laborde;8
rue Chauveau-Lagarde;8
rue de Lisbonne;8
passage de la Madeleine;8
rue de Madrid;8
rue Magellan;8
rue Marbeuf;8
rue de Marignan;8
avenue Matignon;8
rue de Miromesnil;8
rue Montalivet;8
avenue Percier;8
place Gabriel Péri;8
rue de Ponthieu;8
rue de Rigny;8
square Louis Gentil;12
rue de Gravelle;12
passage Hennel;12
rue Lamblardie;12
avenue du Général Laperrine;12
route Lemoine;12
route du Champ de Manoeuvres;12
rue Messidor;12
rue de la Gare de Reuilly;12
route de la Croix Rouge;12
rue Santerre;12
rue Sibuet;12
rue de Tahiti;12
rue de Thorins;12
route de la Tourelle;12
rue Traversière;12
avenue des Tribunes;12
voie V/12;12
rue des Fonds Verts;12
rue du Rendez-Vous;12
voie DD/12;12
voie DD/12;20
pont Charles De Gaulle;12
pont Charles De Gaulle;13
pont de Tolbiac;12
pont de Tolbiac;13
voie AA/13;13
square Arago;13
rue Raymond Aron;13
rue Aumont;13
port d'Austerlitz;13
rue des Deux Avenues;13
rue Barrault;13
rue Albert Bayet;13
voie BL/13;13
rue Bobillot;13
impasse Bourgoin;13
rue du Docteur Bourneville;13
rue Boussingault;13
voie BQ/13;13
rue Michel Bréal;13
rue Bruant;13
rue Buot;13
place Romain Gary;15
rue de la Butte aux Cailles;13
allée Marc Chagall;13
rue Marc Antoine Charpentier;13
rue Chéreau;13
avenue de Choisy;13
rue Jean Colly;13
rue Corvisart;13
rue Dieudonné Costes;13
rue des Terres au Curé;13
villa Deloder;13
rue Émile Deslandres;13
voie DF/13;13
voie DJ/13;13
voie DM/13;13
voie DN/13;13
voie DQ/13;13
voie DZ/13;13
rue Paulin Enfert;13
villa d'Este;13
rue Giffard;13
place de l'Abbé Georges Hénocque;13
place d'Italie;13
passage J/13;13
rue Jean-Marie Jégo;13
rue de Julienne;13
rue Keufer;13
rue Lachelier;13
rue Choderlos De Laclos;13
rue du Docteur Landouzy;13
rue du Docteur Lecène;13
rue du Docteur Magnan;13
rue du Val de Marne;13
square Masséna;13
rue Paulin Méry;13
rue Aimé Morot;13
passage du Moulinet;13
rue Charles Moureu;13
passage National;13
rue Franc-Nohain;13
impasse Onfroy;13
rue René Panhard;13
rue de Patay;13
